level,province_nesdc_en,type,sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Provincial,UDON THANI,Current Market Prices,"Agriculture, forestry and fishing",4712.24616,5305.497633,5349.955359,5475.469775,5181.831099,5271.408917,5048.423109,5217.412225,6757.187434,6478.984609,6454.872758,7915.390678,8750.998201,8783.566864,10873.69331,12908.6618,15846.82624,18243.11241,20685.75187,18576.51534,18090.59822,18197.12693,19579.72309,19701.32302,19207.2752,17966.1434
Provincial,UDON THANI,Current Market Prices,Non-Agriculture,24835.10131,27929.15298,30619.36157,29264.75836,28962.01584,31031.40888,30188.34614,32940.18037,36877.34517,39145.43685,40106.69452,44982.93073,51790.60605,52227.32884,60235.68263,64129.394,72864.93102,74090.88357,77948.22332,80733.48599,83309.75615,86888.10046,89576.55867,89987.20279,92772.63513,90146.67839
Provincial,UDON THANI,Current Market Prices,Industrial,3976.956958,4316.352528,5378.039479,5067.790106,4431.519577,5469.424601,4914.764418,5377.240217,7172.976944,6908.406384,5857.99348,7954.754867,12172.98905,13090.01116,14240.80395,16531.50515,21014.93131,17593.77513,18956.72317,20931.0255,20964.27994,22555.38957,20764.45649,20748.63843,21377.54523,19141.18009
Provincial,UDON THANI,Current Market Prices,Mining and quarrying,5.632355,35.152204,48.13337,29.159937,34.90857,38.956719,49.474646,33.527948,34.572605,31.346809,30.076828,315.261676,4143.463148,4105.078888,4184.61163,4216.500505,4436.497411,5540.220955,5437.098172,6615.289876,7324.922194,6211.826335,3865.386833,4165.523049,4727.086562,4973.464208
Provincial,UDON THANI,Current Market Prices,Manufacturing,3352.38468,3620.831506,4589.827705,4177.00855,3638.492985,4641.031442,4063.748732,4539.183936,6287.660837,5959.282037,4913.217363,6669.968231,7088.116635,8081.718396,8893.708951,11121.0355,15364.59769,10646.11346,11879.5202,12456.61203,11778.49441,14402.38068,14890.0651,14672.15498,14590.89441,12033.33013
Provincial,UDON THANI,Current Market Prices,"Electricity, gas, steam and air conditioning supply",514.405661,541.549449,604.212466,728.818069,613.551146,621.771001,618.94257,634.492763,672.919989,739.273309,747.832744,816.456585,791.138088,747.66456,957.398003,989.272218,1002.450395,1165.86451,1314.563159,1417.428242,1385.969306,1446.491593,1497.231655,1399.896921,1569.275125,1638.075355
Provincial,UDON THANI,Current Market Prices,"Water supply; sewerage, waste management and remediation activities",104.534261,118.819369,135.865938,132.803549,144.566876,167.66544,182.59847,170.035569,177.823512,178.504229,166.866544,153.068375,150.271182,155.549315,205.085368,204.696933,211.385824,241.576205,325.541634,441.695346,474.894032,494.69096,511.772901,511.063475,490.289129,496.310388
Provincial,UDON THANI,Current Market Prices,Services,20858.14436,23612.80045,25241.3221,24196.96826,24530.49626,25561.98427,25273.58172,27562.94015,29704.36823,32237.03046,34248.70104,37028.17586,39617.617,39137.31768,45994.87868,47597.88885,51849.9997,56497.10844,58991.50015,59802.4605,62345.47621,64332.7109,68812.10218,69238.56436,71395.08991,71005.49831
Provincial,UDON THANI,Current Market Prices,Construction,2002.808993,2746.024496,1936.198011,1314.75103,1462.997856,2710.07477,1405.154948,1811.885987,2156.784632,2312.804934,2325.861397,2580.976372,2433.694544,2443.229358,4664.070954,3264.766475,4002.730547,4578.283298,4014.263373,4880.859729,4830.799705,4786.149404,4589.301484,3159.943306,2982.776374,3322.372457
Provincial,UDON THANI,Current Market Prices,Wholesale and retail trade and repair of motor vehicles and motorcycle,3995.185837,4454.691002,5025.382956,4619.225568,5487.83111,4578.144158,4745.263776,5063.977976,5693.936486,5714.120603,5974.995864,6886.980428,7550.19422,7533.508882,9147.174521,9449.770762,9525.85535,10166.52845,10695.90005,12123.44464,12989.25239,14385.77067,16158.26135,17553.80724,17836.20004,17349.26529
